date,com_count,sub_count,com_body_pos_count,com_body_very_pos_count,com_body_neg_count,com_body_very_neg_count,sub_body_pos_count,sub_body_very_pos_count,sub_body_neg_count,sub_body_very_neg_count,sub_title_pos_count,sub_title_very_pos_count,sub_title_neg_count,sub_title_very_neg_count,avg_clust_coef,avg_degree,num_edges,num_nodes,eth_open,eth_high,eth_low,eth_close,eth_volume,eth_market_cap,com_count_(-1),com_count_(-2),com_count_(-3),com_count_(-4),sub_count_(-1),sub_count_(-2),sub_count_(-3),sub_count_(-4),sub_count_(-5),com_body_pos_count_(-1),com_body_pos_count_(-2),com_body_pos_count_(-3),com_body_pos_count_(-4),com_body_pos_count_(-5),com_body_very_pos_count_(-1),com_body_very_pos_count_(-2),com_body_very_pos_count_(-3),com_body_very_pos_count_(-4),com_body_neg_count_(-1),com_body_neg_count_(-2),com_body_neg_count_(-3),com_body_neg_count_(-4),com_body_neg_count_(-5),com_body_neg_count_(-6),com_body_neg_count_(-7),com_body_neg_count_(-8),com_body_neg_count_(-9),sub_body_pos_count_(-1),sub_body_pos_count_(-2),sub_body_pos_count_(-3),sub_body_pos_count_(-4),sub_body_very_pos_count_(-1),sub_body_very_pos_count_(-2),sub_body_very_pos_count_(-3),sub_body_very_neg_count_(-1),sub_body_very_neg_count_(-2),sub_body_very_neg_count_(-3),sub_body_very_neg_count_(-4),sub_body_very_neg_count_(-5),sub_title_pos_count_(-1),sub_title_pos_count_(-2),sub_title_pos_count_(-3),sub_title_pos_count_(-4),sub_title_pos_count_(-5),sub_title_pos_count_(-6),sub_title_pos_count_(-7),sub_title_pos_count_(-8),sub_title_pos_count_(-9),sub_title_pos_count_(-10),sub_title_pos_count_(-11),sub_title_pos_count_(-12),sub_title_neg_count_(-1),sub_title_neg_count_(-2),sub_title_neg_count_(-3),sub_title_neg_count_(-4),sub_title_very_neg_count_(-1),sub_title_very_neg_count_(-2),sub_title_very_neg_count_(-3),sub_title_very_neg_count_(-4),sub_title_very_neg_count_(-5),sub_title_very_neg_count_(-6),sub_title_very_neg_count_(-7),sub_title_very_neg_count_(-8),sub_title_very_neg_count_(-9),sub_title_very_neg_count_(-10),avg_clust_coef_(-1),avg_clust_coef_(-2),avg_clust_coef_(-3),avg_clust_coef_(-4),avg_degree_(-1),avg_degree_(-2),avg_degree_(-3),avg_degree_(-4),avg_degree_(-5),avg_degree_(-6),avg_degree_(-7),num_edges_(-1),num_edges_(-2),num_edges_(-3),num_edges_(-4),num_nodes_(-1),num_nodes_(-2),num_nodes_(-3),eth_close_(-1),eth_close_(-2),eth_close_(-3),eth_close_(-4),eth_close_(-5),eth_close_(-6),eth_close_(-7),eth_close_(-8),eth_close_(-9),y
5/25/2018,15832.0,1885.0,3507.0,1660.0,1677.0,662.0,136.0,97.0,30.0,18.0,208.0,47.0,88.0,12.0,0.009970414,1.2226,7546.0,6172.0,602.14,617.19,575.62,586.73,2110919936.0,60000411648.0,20023.0,24052.0,17802.0,15772.0,1898.0,2061.0,1906.0,1817.0,1138.0,4322.0,4984.0,4216.0,3718.0,3401.0,1969.0,2211.0,1926.0,1749.0,2313.0,2704.0,1764.0,1578.0,1581.0,1424.0,1839.0,1882.0,2131.0,142.0,140.0,144.0,154.0,111.0,101.0,103.0,21.0,23.0,24.0,15.0,6.0,196.0,253.0,232.0,228.0,163.0,140.0,209.0,240.0,236.0,224.0,231.0,198.0,118.0,101.0,100.0,80.0,12.0,16.0,14.0,15.0,3.0,6.0,19.0,28.0,11.0,18.0,0.012746145,0.00940862,0.007572678,0.007319213000000001,1.2951,1.2932,1.2392,1.2446,1.2761,1.2044,1.1961,8976.0,9933.0,8082.0,7577.0,6931.0,7681.0,6522.0,601.76,583.59,647.74,699.22,715.37,696.53,694.37,672.66,707.05,1
5/26/2018,13753.0,1287.0,3053.0,1348.0,1364.0,468.0,107.0,74.0,21.0,10.0,150.0,29.0,50.0,5.0,0.008175364000000001,1.1935,6371.0,5338.0,587.43,606.17,583.51,587.28,1694300032.0,58546393088.0,15832.0,20023.0,24052.0,17802.0,1885.0,1898.0,2061.0,1906.0,1817.0,3507.0,4322.0,4984.0,4216.0,3718.0,1660.0,1969.0,2211.0,1926.0,1677.0,2313.0,2704.0,1764.0,1578.0,1581.0,1424.0,1839.0,1882.0,136.0,142.0,140.0,144.0,97.0,111.0,101.0,18.0,21.0,23.0,24.0,15.0,208.0,196.0,253.0,232.0,228.0,163.0,140.0,209.0,240.0,236.0,224.0,231.0,88.0,118.0,101.0,100.0,12.0,12.0,16.0,14.0,15.0,3.0,6.0,19.0,28.0,11.0,0.009970414,0.012746145,0.00940862,0.007572678,1.2226,1.2951,1.2932,1.2392,1.2446,1.2761,1.2044,7546.0,8976.0,9933.0,8082.0,6172.0,6931.0,7681.0,586.73,601.76,583.59,647.74,699.22,715.37,696.53,694.37,672.66,0
5/27/2018,14900.0,1121.0,3383.0,1542.0,1670.0,629.0,91.0,67.0,27.0,15.0,121.0,29.0,59.0,8.0,0.01176986,1.2426,6797.0,5470.0,588.52,590.33,562.87,572.67,1788790016.0,58667597824.0,13753.0,15832.0,20023.0,24052.0,1287.0,1885.0,1898.0,2061.0,1906.0,3053.0,3507.0,4322.0,4984.0,4216.0,1348.0,1660.0,1969.0,2211.0,1364.0,1677.0,2313.0,2704.0,1764.0,1578.0,1581.0,1424.0,1839.0,107.0,136.0,142.0,140.0,74.0,97.0,111.0,10.0,18.0,21.0,23.0,24.0,150.0,208.0,196.0,253.0,232.0,228.0,163.0,140.0,209.0,240.0,236.0,224.0,50.0,88.0,118.0,101.0,5.0,12.0,12.0,16.0,14.0,15.0,3.0,6.0,19.0,28.0,0.008175364000000001,0.009970414,0.012746145,0.00940862,1.1935,1.2226,1.2951,1.2932,1.2392,1.2446,1.2761,6371.0,7546.0,8976.0,9933.0,5338.0,6172.0,6931.0,587.28,586.73,601.76,583.59,647.74,699.22,715.37,696.53,694.37,0
5/28/2018,18303.0,1628.0,3965.0,1866.0,2107.0,788.0,146.0,111.0,37.0,18.0,181.0,60.0,97.0,18.0,0.010723462,1.2416,7980.0,6427.0,573.04,576.05,512.55,516.04,2356900096.0,57136672768.0,14900.0,13753.0,15832.0,20023.0,1121.0,1287.0,1885.0,1898.0,2061.0,3383.0,3053.0,3507.0,4322.0,4984.0,1542.0,1348.0,1660.0,1969.0,1670.0,1364.0,1677.0,2313.0,2704.0,1764.0,1578.0,1581.0,1424.0,91.0,107.0,136.0,142.0,67.0,74.0,97.0,15.0,10.0,18.0,21.0,23.0,121.0,150.0,208.0,196.0,253.0,232.0,228.0,163.0,140.0,209.0,240.0,236.0,59.0,50.0,88.0,118.0,8.0,5.0,12.0,12.0,16.0,14.0,15.0,3.0,6.0,19.0,0.01176986,0.008175364000000001,0.009970414,0.012746145,1.2426,1.1935,1.2226,1.2951,1.2932,1.2392,1.2446,6797.0,6371.0,7546.0,8976.0,5470.0,5338.0,6172.0,572.67,587.28,586.73,601.76,583.59,647.74,699.22,715.37,696.53,1
5/29/2018,19118.0,1941.0,4293.0,1997.0,2041.0,791.0,142.0,104.0,28.0,22.0,212.0,37.0,118.0,17.0,0.012369376000000001,1.2552,8331.0,6637.0,516.15,572.26,516.15,565.39,2330820096.0,51474354176.0,18303.0,14900.0,13753.0,15832.0,1628.0,1121.0,1287.0,1885.0,1898.0,3965.0,3383.0,3053.0,3507.0,4322.0,1866.0,1542.0,1348.0,1660.0,2107.0,1670.0,1364.0,1677.0,2313.0,2704.0,1764.0,1578.0,1581.0,146.0,91.0,107.0,136.0,111.0,67.0,74.0,18.0,15.0,10.0,18.0,21.0,181.0,121.0,150.0,208.0,196.0,253.0,232.0,228.0,163.0,140.0,209.0,240.0,97.0,59.0,50.0,88.0,18.0,8.0,5.0,12.0,12.0,16.0,14.0,15.0,3.0,6.0,0.010723462,0.01176986,0.008175364000000001,0.009970414,1.2416,1.2426,1.1935,1.2226,1.2951,1.2932,1.2392,7980.0,6797.0,6371.0,7546.0,6427.0,5470.0,5338.0,516.04,572.67,587.28,586.73,601.76,583.59,647.74,699.22,715.37,0
5/30/2018,17327.0,1962.0,4028.0,1912.0,1832.0,695.0,126.0,87.0,29.0,23.0,222.0,38.0,120.0,19.0,0.010814526999999999,1.2761,8245.0,6461.0,566.83,583.14,545.43,559.59,2053970048.0,56540450816.0,19118.0,18303.0,14900.0,13753.0,1941.0,1628.0,1121.0,1287.0,1885.0,4293.0,3965.0,3383.0,3053.0,3507.0,1997.0,1866.0,1542.0,1348.0,2041.0,2107.0,1670.0,1364.0,1677.0,2313.0,2704.0,1764.0,1578.0,142.0,146.0,91.0,107.0,104.0,111.0,67.0,22.0,18.0,15.0,10.0,18.0,212.0,181.0,121.0,150.0,208.0,196.0,253.0,232.0,228.0,163.0,140.0,209.0,118.0,97.0,59.0,50.0,17.0,18.0,8.0,5.0,12.0,12.0,16.0,14.0,15.0,3.0,0.012369376000000001,0.010723462,0.01176986,0.008175364000000001,1.2552,1.2416,1.2426,1.1935,1.2226,1.2951,1.2932,8331.0,7980.0,6797.0,6371.0,6637.0,6427.0,5470.0,565.39,516.04,572.67,587.28,586.73,601.76,583.59,647.74,699.22,1
5/31/2018,16971.0,1912.0,4083.0,1972.0,1716.0,665.0,133.0,99.0,36.0,17.0,253.0,50.0,75.0,8.0,0.007893031,1.275,8017.0,6288.0,558.5,585.54,557.07,577.65,1985040000.0,55720755200.0,17327.0,19118.0,18303.0,14900.0,1962.0,1941.0,1628.0,1121.0,1287.0,4028.0,4293.0,3965.0,3383.0,3053.0,1912.0,1997.0,1866.0,1542.0,1832.0,2041.0,2107.0,1670.0,1364.0,1677.0,2313.0,2704.0,1764.0,126.0,142.0,146.0,91.0,87.0,104.0,111.0,23.0,22.0,18.0,15.0,10.0,222.0,212.0,181.0,121.0,150.0,208.0,196.0,253.0,232.0,228.0,163.0,140.0,120.0,118.0,97.0,59.0,19.0,17.0,18.0,8.0,5.0,12.0,12.0,16.0,14.0,15.0,0.010814526999999999,0.012369376000000001,0.010723462,0.01176986,1.2761,1.2552,1.2416,1.2426,1.1935,1.2226,1.2951,8245.0,8331.0,7980.0,6797.0,6461.0,6637.0,6427.0,559.59,565.39,516.04,572.67,587.28,586.73,601.76,583.59,647.74,1
6/1/2018,15342.0,1797.0,3410.0,1546.0,1607.0,615.0,145.0,117.0,24.0,13.0,228.0,41.0,88.0,9.0,0.00901832,1.2088,6923.0,5727.0,578.67,589.09,567.66,580.04,1945890048.0,57745653760.0,16971.0,17327.0,19118.0,18303.0,1912.0,1962.0,1941.0,1628.0,1121.0,4083.0,4028.0,4293.0,3965.0,3383.0,1972.0,1912.0,1997.0,1866.0,1716.0,1832.0,2041.0,2107.0,1670.0,1364.0,1677.0,2313.0,2704.0,133.0,126.0,142.0,146.0,99.0,87.0,104.0,17.0,23.0,22.0,18.0,15.0,253.0,222.0,212.0,181.0,121.0,150.0,208.0,196.0,253.0,232.0,228.0,163.0,75.0,120.0,118.0,97.0,8.0,19.0,17.0,18.0,8.0,5.0,12.0,12.0,16.0,14.0,0.007893031,0.010814526999999999,0.012369376000000001,0.010723462,1.275,1.2761,1.2552,1.2416,1.2426,1.1935,1.2226,8017.0,8245.0,8331.0,7980.0,6288.0,6461.0,6637.0,577.65,559.59,565.39,516.04,572.67,587.28,586.73,601.76,583.59,1
6/2/2018,13955.0,1399.0,2974.0,1343.0,1579.0,566.0,101.0,77.0,21.0,10.0,173.0,40.0,66.0,14.0,0.0074616859999999995,1.227,6303.0,5137.0,580.43,597.08,577.32,591.81,1880390016.0,57932898304.0,15342.0,16971.0,17327.0,19118.0,1797.0,1912.0,1962.0,1941.0,1628.0,3410.0,4083.0,4028.0,4293.0,3965.0,1546.0,1972.0,1912.0,1997.0,1607.0,1716.0,1832.0,2041.0,2107.0,1670.0,1364.0,1677.0,2313.0,145.0,133.0,126.0,142.0,117.0,99.0,87.0,13.0,17.0,23.0,22.0,18.0,228.0,253.0,222.0,212.0,181.0,121.0,150.0,208.0,196.0,253.0,232.0,228.0,88.0,75.0,120.0,118.0,9.0,8.0,19.0,17.0,18.0,8.0,5.0,12.0,12.0,16.0,0.00901832,0.007893031,0.010814526999999999,0.012369376000000001,1.2088,1.275,1.2761,1.2552,1.2416,1.2426,1.1935,6923.0,8017.0,8245.0,8331.0,5727.0,6288.0,6461.0,580.04,577.65,559.59,565.39,516.04,572.67,587.28,586.73,601.76,1
6/3/2018,13728.0,1275.0,3059.0,1441.0,1445.0,549.0,98.0,70.0,16.0,5.0,162.0,43.0,69.0,13.0,0.010956687,1.2525,6314.0,5041.0,591.26,624.51,591.26,618.33,1832550016.0,59026063360.0,13955.0,15342.0,16971.0,17327.0,1399.0,1797.0,1912.0,1962.0,1941.0,2974.0,3410.0,4083.0,4028.0,4293.0,1343.0,1546.0,1972.0,1912.0,1579.0,1607.0,1716.0,1832.0,2041.0,2107.0,1670.0,1364.0,1677.0,101.0,145.0,133.0,126.0,77.0,117.0,99.0,10.0,13.0,17.0,23.0,22.0,173.0,228.0,253.0,222.0,212.0,181.0,121.0,150.0,208.0,196.0,253.0,232.0,66.0,88.0,75.0,120.0,14.0,9.0,8.0,19.0,17.0,18.0,8.0,5.0,12.0,12.0,0.0074616859999999995,0.00901832,0.007893031,0.010814526999999999,1.227,1.2088,1.275,1.2761,1.2552,1.2416,1.2426,6303.0,6923.0,8017.0,8245.0,5137.0,5727.0,6288.0,591.81,580.04,577.65,559.59,565.39,516.04,572.67,587.28,586.73,0
