date,com_count,sub_count,com_body_pos_count,com_body_very_pos_count,com_body_neg_count,com_body_very_neg_count,sub_body_pos_count,sub_body_very_pos_count,sub_body_neg_count,sub_body_very_neg_count,sub_title_pos_count,sub_title_very_pos_count,sub_title_neg_count,sub_title_very_neg_count,avg_clust_coef,avg_degree,num_edges,num_nodes,eth_open,eth_high,eth_low,eth_close,eth_volume,eth_market_cap
7/20/2018,13378,1773,2907,1331,1398,500,119,90,16,8,206,46,72,15,0.011254220,1.1277,5438,4822,469.310000,469.310000,443.690000,450.700000,1821350016,47304454144
7/21/2018,9462,1201,2117,998,1069,398,76,57,18,11,141,37,40,9,0.011209963,1.1576,4458,3851,450.680000,468.080000,445.780000,462.440000,1504310016,45435904000
7/22/2018,9507,1180,2102,972,1004,408,60,42,16,9,123,39,50,4,0.004974040,1.1691,4549,3891,462.440000,470.900000,458.120000,459.660000,1338589952,46630920192
7/23/2018,14073,1918,3147,1450,1491,537,110,84,20,13,249,67,68,17,0.009355029,1.1074,5714,5160,459.440000,469.770000,449.730000,450.850000,1596999936,46338043904
7/24/2018,17350,2111,3818,1717,1618,558,142,113,31,18,260,74,98,32,0.013974885,1.2046,7196,5974,451.140000,481.140000,450.570000,479.370000,2287520000,45509849088
7/25/2018,15039,2085,3545,1605,1509,532,139,96,26,10,217,60,77,13,0.011904428,1.1677,6287,5384,479.910000,482.870000,466.470000,472.490000,1930780032,48421990400
7/26/2018,14936,1939,3500,1692,1652,602,153,111,24,12,230,59,105,6,0.013712115,1.1956,6553,5481,472.330000,483.700000,461.420000,464.040000,1621560064,47667482624
7/27/2018,13205,2239,2779,1268,1559,555,106,80,19,8,198,54,88,14,0.011022142,1.2034,5815,4832,464.010000,473.220000,458.290000,469.670000,1734259968,46837104640
7/28/2018,10487,1601,2262,1101,1288,538,94,74,17,11,137,36,53,8,0.009793413,1.1244,4681,4163,469.680000,471.590000,462.990000,466.900000,1531890048,47418966016
7/29/2018,11073,1184,2400,1138,1297,541,84,57,22,11,126,26,62,7,0.017624449,1.2446,5175,4158,466.920000,470.360000,462.710000,466.670000,1631910016,47149572096
7/30/2018,13842,2293,3176,1591,1450,545,119,78,11,7,262,54,77,11,0.013626561,1.1462,5857,5110,466.830000,467.950000,448.640000,457.080000,2141590000,47150243495
7/31/2018,14295,1879,3117,1416,1595,616,117,88,19,13,276,69,104,17,0.008305816,1.1423,5988,5242,457.250000,457.250000,430.440000,433.870000,1820680000,46191809198
8/1/2018,13794,1946,3169,1493,1489,565,119,95,29,20,260,44,68,3,0.014025924,1.1726,6005,5121,433.870000,435.460000,410.460000,420.750000,1888060000,43839225862
8/2/2018,13335,1880,2942,1344,1466,545,126,91,19,10,99,27,33,6,0.012917845,1.1630,5758,4951,420.810000,425.030000,410.310000,412.620000,1569300000,42527933834
8/3/2018,15274,1898,3112,1393,1651,606,115,92,23,11,99,23,35,1,0.015177983,1.1641,6059,5205,412.570000,420.550000,399.910000,418.260000,1722340000,41703717522
8/4/2018,11226,1260,2404,1040,1117,377,79,59,16,10,80,21,28,4,0.009252480,1.1859,4835,4077,418.240000,420.190000,403.780000,407.250000,1466540000,42285422559
8/5/2018,9618,1150,2160,1009,971,361,67,53,22,11,153,43,33,3,0.005882036,1.1327,4241,3744,407.350000,413.720000,402.430000,410.520000,1396820000,41192725337
